date,P1Name,P2Name,P1WinProb,P2WinProb
2018-01-10,Aryna Sabalenka,Shuai Zhang,0.33725499999999997,0.662745
2018-09-05,Rafael Nadal,Dominic Thiem,0.609485,0.39051499999999995
2018-01-09,Agnieszka Radwanska,Johanna Konta,0.634405,0.365595
2018-11-02,Garbine Muguruza,Anastasija Sevastova,0.413495,0.586505
2018-03-02,Lesia Tsurenko,Kristina Mladenovic,0.33206,0.66794
2018-06-19,Anastasija Sevastova,Svetlana Kuznetsova,0.395085,0.604915
2018-05-30,Kei Nishikori,Benoit Paire,0.5396299999999999,0.46037000000000006
2018-09-24,Aryna Sabalenka,Carla Suarez Navarro,0.6648149999999999,0.33518500000000007
2018-10-09,Benoit Paire,Pablo Carreno Busta,0.315215,0.684785
2018-10-07,Caroline Wozniacki,Anastasija Sevastova,0.6172949999999999,0.3827050000000001
2018-11-02,Roger Federer,Kei Nishikori,0.61207,0.38793
2018-03-30,John Isner,Juan Martin Del Potro,0.48474500000000004,0.515255
2018-08-04,Juan Martin Del Potro,Damir Dzumhur,0.7129300000000001,0.28706999999999994
2018-09-08,Novak Djokovic,Kei Nishikori,0.70804,0.29196
2018-02-16,Garbine Muguruza,Caroline Garcia,0.6954750000000001,0.30452499999999993
2018-06-17,Ashleigh Barty,Johanna Konta,0.533855,0.46614500000000003
2018-06-21,Roger Federer,Benoit Paire,0.57258,0.42742
2018-07-11,Novak Djokovic,Kei Nishikori,0.698785,0.301215
2018-05-20,Elina Svitolina,Simona Halep,0.513855,0.48614500000000005
2018-03-12,Juan Martin Del Potro,Alex De Minaur,0.84379,0.15620999999999996
2018-03-02,Juan Martin Del Potro,Dominic Thiem,0.5538000000000001,0.44619999999999993
2018-06-16,Roger Federer,Nick Kyrgios,0.56683,0.43317000000000005
2018-08-16,Stan Wawrinka,Kei Nishikori,0.482465,0.5175350000000001
2018-01-04,Katerina Siniakova,Karolina Pliskova,0.31,0.69
2018-07-13,Kevin Anderson,John Isner,0.56494,0.43506
2018-07-29,John Isner,Ryan Harrison,0.5991150000000001,0.40088499999999994
2018-05-09,Daria Kasatkina,Garbine Muguruza,0.469695,0.530305
2018-08-17,Roger Federer,Leonardo Mayer,0.790735,0.20926500000000003
2018-09-23,Karolina Pliskova,Naomi Osaka,0.237065,0.762935
2018-02-15,Catherine Cartan Bellis,Karolina Pliskova,0.103635,0.896365
2018-04-20,Grigor Dimitrov,David Goffin,0.5459149999999999,0.45408500000000007
2018-10-11,Borna Coric,Juan Martin Del Potro,0.25730000000000003,0.7426999999999999
2018-07-24,Karolina Pliskova,Katerina Siniakova,0.71092,0.28908
2018-06-19,Nick Kyrgios,Andy Murray,0.29673000000000005,0.70327
2018-03-29,Pablo Carreno Busta,Kevin Anderson,0.28285,0.71715
2018-06-11,Coco Vandeweghe,Aliaksandra Sasnovich,0.66001,0.33999
2018-11-17,Alexander Zverev,Roger Federer,0.30501,0.69499
2018-03-23,Elina Svitolina,Naomi Osaka,0.5223800000000001,0.47761999999999993
2018-08-30,Dominika Cibulkova,Su Wei Hsieh,0.79752,0.20248
2018-10-03,Dominika Cibulkova,Sloane Stephens,0.5216149999999999,0.47838500000000006
2018-09-24,Ashleigh Barty,Johanna Konta,0.52974,0.47026
2018-06-10,Rafael Nadal,Dominic Thiem,0.58491,0.41508999999999996
2018-05-08,Carla Suarez Navarro,Elina Svitolina,0.38976,0.61024
2018-11-03,Qiang Wang,Garbine Muguruza,0.5775300000000001,0.4224699999999999
2018-08-18,Roger Federer,Stan Wawrinka,0.6089,0.3911
2018-01-05,Elina Svitolina,Karolina Pliskova,0.45557000000000003,0.54443
2018-04-27,Pablo Carreno Busta,Grigor Dimitrov,0.079525,0.920475
2018-09-20,Donna Vekic,Johanna Konta,0.514745,0.485255
2018-03-13,Juan Martin Del Potro,David Ferrer,0.60884,0.39115999999999995
2018-03-01,Juan Martin Del Potro,David Ferrer,0.60884,0.39115999999999995
2018-08-07,Johanna Konta,Jelena Ostapenko,0.47507,0.52493
2018-03-04,Juan Martin Del Potro,Kevin Anderson,0.639795,0.360205
2018-08-27,Stan Wawrinka,Grigor Dimitrov,0.530645,0.46935499999999997
2018-10-31,Dominic Thiem,Gilles Simon,0.55487,0.44513
2018-10-04,Aryna Sabalenka,Caroline Garcia,0.524505,0.475495
2018-01-06,Nick Kyrgios,Grigor Dimitrov,0.28825,0.71175
2018-04-16,Kei Nishikori,Tomas Berdych,0.5640499999999999,0.43595000000000006
2018-03-17,Juan Martin Del Potro,Milos Raonic,0.54416,0.45584
2018-02-23,Tomas Berdych,Damir Dzumhur,0.81989,0.18011
2018-10-30,Elise Mertens,Anett Kontaveit,0.459495,0.540505
2018-06-24,Marin Cilic,Novak Djokovic,0.16773500000000002,0.832265
2018-08-10,Simona Halep,Venus Williams,0.648895,0.351105
2018-01-20,Tomas Berdych,Juan Martin Del Potro,0.472245,0.527755
2018-01-30,Dominika Cibulkova,Sorana Cirstea,0.5557650000000001,0.44423499999999994
2018-04-06,Anastasija Sevastova,Karolina Pliskova,0.5997049999999999,0.40029500000000007
2018-03-13,Carla Suarez Navarro,Elina Svitolina,0.38976,0.61024
2018-10-30,Daria Kasatkina,Qiang Wang,0.505155,0.494845
2018-11-16,Alexander Zverev,John Isner,0.63367,0.36633000000000004
2018-01-16,Agnieszka Radwanska,Karolina Pliskova,0.73386,0.26614000000000004
2018-10-30,Aryna Sabalenka,Ashleigh Barty,0.557415,0.442585
2018-04-08,Julia Goerges,Anastasija Sevastova,0.472195,0.5278050000000001
